,score,group,uuid
98,0.9078957930725208,0,dc1797ac-0406-4b4b-a7af-af5764beeefc
99,0.9078957911142536,0,8c81d306-4c49-4f7f-8037-38ce87fd98e4
109,0.9078957144785772,1,2d68da3e-497e-4092-8224-2adf6d24096a
102,0.9078957763156744,0,951ed28d-3e86-4dc9-805e-db4c3f67c464
103,0.9078957682860279,0,e1048778-9946-4707-91de-7d084131411f
104,0.9078957608935591,0,1cf1e070-2629-424d-848f-ebf508079aaf
112,0.907895705200702,1,614cf003-d778-40d1-83a2-6b371c637ead
114,0.9078956985709143,1,fada3b7f-8a27-4c16-9331-a9d892004ccd
116,0.907895677241189,1,44ce8dac-06ea-47ce-951a-47be66b581cf
105,0.9078957477054947,0,f36fb294-2a16-4ca9-8f2e-4c90e6aa7d26
106,0.9078957259851126,0,68f0f6a1-91cc-4817-b7b8-040dea318fe6
117,0.907895674190322,1,560c1dd9-dc98-4a31-b062-98e13d57d367
119,0.9078956620667508,1,afef6cdd-6fb1-4c0d-8cda-e1d988215f5f
107,0.9078957257452928,0,2d1d47d4-5b3f-4df0-b6eb-3e56904072a9
108,0.9078957178976688,0,516b2935-326a-4bf2-96f4-9abb876dfa76
122,0.9078956532526584,1,8199b17a-9308-48ff-a32c-a14d443699ae
110,0.907895713369162,0,fbb1cd3c-25a9-4c3c-8f89-42f96a19a6a0
111,0.9078957085910068,0,2f8233b8-7511-4ec9-9d05-ffd7dadefe31
124,0.9078956479397524,1,c5a31110-034a-4343-bbd2-340fa52179b6
128,0.9078956365173344,1,e8867911-f30a-4eb9-9d8a-0674607fc336
113,0.9078957034921892,0,3c4d62c2-0f64-46bc-966b-d7e76eecee18
115,0.9078956817073012,0,ae2a73a3-6244-4999-9475-7f31e0da2d28
130,0.9078956275685754,1,b91078d8-0878-4877-a900-06c94041967a
118,0.9078956664122912,0,9daf1bc6-3814-40bf-9395-07a621d55ce4
120,0.907895659332077,0,9d72e154-779d-425a-bc1d-1bf1f4c52090
121,0.9078956564580508,0,3d8a916f-bc63-4cd8-984c-7f04d1fbc2b5
131,0.9078956196344532,1,642eacee-ac53-4f7b-86a7-bea76eece326
132,0.9078956151741968,1,40ab09ea-f190-46ac-a9c4-f2a84719521c
133,0.9078956065343068,1,6c285705-6f13-4408-8085-be599f6efb3a
123,0.9078956490460248,0,9f2e9783-dab4-4f28-b01a-05ae8a3b4919
125,0.9078956467142579,0,85c5262f-e0fe-4bc3-bd9b-9b13784252fb
126,0.9078956422797542,0,446a4890-b025-4748-9bc8-0efc6b4cfd8b
127,0.907895638413882,0,365f3a9c-6d1d-4846-8377-0c89e4d48f5d
129,0.907895631128006,0,cab03333-c775-4d4a-b841-e65e69529c63
134,0.9078956054340872,1,b6de4931-001b-42dc-9d57-dd73b3761d95
135,0.9078956054138227,0,d2c2cbe6-c223-4284-9378-0d84196ef676
136,0.9078956025486584,0,ad5f31d3-8334-492e-a1ab-1e65983c1c8d
138,0.9078955985530036,1,4d52bb73-de58-4932-abf0-debc92afa8ee
142,0.9078955735459102,1,ea31ef27-15b9-474e-8fd6-4a3079aaa414
137,0.907895599024066,0,0aa8cfc3-b6d5-45af-8619-852e6bd95309
143,0.9078955694306114,1,84a2524a-b54c-4488-9431-e10e38226f5b
139,0.9078955977130428,0,a9205b33-bb34-43f2-96ba-ec7818fd9326
147,0.9078955370054738,1,8b0c6b4b-1f54-4f66-a4ed-5f9b6d2c1540
149,0.9078955287731424,1,e950286b-65e9-4714-b0eb-f2f3772478b2
140,0.9078955878149116,0,c7c9233b-a6fa-48c7-87c0-cd56e7fea951
151,0.907895486796268,1,169aa33a-cff3-46e5-9bbf-6afa69bd1b97
141,0.9078955830463824,0,a4b01177-97e0-4936-9f29-0ce500406efb
144,0.9078955693874948,0,aa940d35-1246-478e-bbf3-59ba3b32e1a0
145,0.9078955628718588,0,7a77d9f7-2a61-4812-a73b-e7f822a3212f
154,0.9078954652706308,1,9488cac4-904e-48f9-9034-3340b86f8c86
156,0.907895450963183,1,ab8d4215-6dac-4978-8c73-59f775426726
146,0.907895555087256,0,1b242c2f-76e1-4bc2-890f-d747a5d03e38
148,0.9078955320983204,0,c6ccdcba-f4f1-4f89-be16-3708810f44d4
157,0.9078954468272734,1,4375951d-f4a1-4f7d-93d8-a939e0c2a31c
150,0.9078955110149324,0,661de87b-ebe1-4ad7-a40c-cb1f621e3a90
160,0.9078954420912194,1,2906693b-74e5-4e53-b2a6-ac00e4589147
152,0.9078954723642878,0,afe6994c-1979-453a-9ce5-1953c120f7d8
153,0.907895468051604,0,2e93b31e-6ca0-4933-8154-81ed4631205f
164,0.9078954272774268,1,bb4c3c59-6fc9-4dce-9fe6-4bc825ed5b02
155,0.9078954565778976,0,449d8ea1-884d-46e5-878a-6cbabef3255b
167,0.9078954114737228,1,4ea3d28b-d5ec-406a-8773-15097ade82dc
168,0.9078953885518868,1,c39f2ed5-0a14-4da4-bed3-b74ae45e9594
158,0.9078954452464388,0,dd96fd2b-8791-4100-9114-65f393baf7db
169,0.9078953871773215,1,59d906d0-b5d9-44c6-8aa4-d4a3b9a9914f
159,0.9078954438051634,0,f174cf29-7744-40da-9667-69ac1b3c6957
161,0.9078954399559552,0,a9e54fce-2ed0-423b-b926-a2f1b95342d0
162,0.9078954332690544,0,e0475650-0c6d-460c-9c07-9fbc99e049c7
163,0.9078954314662712,0,ba8d483d-6444-47f6-8970-2ab5b9f1f630
165,0.9078954223511336,0,19dcbc02-304a-407d-8012-ce0c730783c1
170,0.9078953854554682,1,aff2fd29-975c-4a2b-bf20-7cc1e31a12e4
175,0.907895348006466,1,e12143d8-ddfc-4fe9-96e2-4a5563a4ceae
166,0.9078954125823084,0,521c855c-65e0-408b-bf8f-62c9bacd2a4b
177,0.9078953326365964,1,3c3f102b-8de8-47a6-9bb7-178bf26614b2
171,0.9078953830322574,0,ee0471fb-d37f-4b8e-8a5d-d313e7f600ad
178,0.9078953318694556,1,1ca40707-44ac-40d2-8895-1c5739c4e072
179,0.9078953162731735,1,16602933-0c6e-4430-ab35-778febf58ed1
172,0.9078953801458872,0,1f38e46d-cb4b-4801-b7a2-c806d064ad8d
173,0.9078953785824652,0,8a07ffee-0f0b-4ecf-9cd3-afe469ea4159
182,0.9078953046903924,1,16468aad-ee04-4c59-a98b-5c3bde8af6ac
185,0.9078952907495424,1,fb364279-4337-42d0-9ab6-aeecc95c7dab
174,0.907895349613182,0,20f2edf7-65e6-4824-a3e1-43f90e35018e
176,0.907895347634408,0,2b439e7a-a752-41ae-b377-38dbf87503dc
186,0.9078952785467592,1,12faba01-9663-4f9e-9426-b97c7ccaf852
180,0.9078953132342964,0,1f1fddd5-354a-4ea0-90b6-87baa5dee0d5
187,0.907895277731498,1,5c6aeead-1b8b-40c1-a5b6-4f09be15a4c5
181,0.9078953121754101,0,3acc72c0-a727-4631-8e62-a0244bbb3254
183,0.9078952933670132,0,9b350a52-edd3-4e14-88a0-5d4e5bec0fc4
191,0.907895255718144,1,4b69d5c3-0161-4a73-8c01-ae82461bc942
192,0.9078952547112288,1,ae55c8e6-2caf-4529-8669-7cba029dc272
184,0.9078952911077824,0,580da3a4-403e-48ca-9606-52a95a4affa7
195,0.9078952421082802,1,b442b23b-9a26-4992-9670-f199bd0a18d8
188,0.9078952750956518,0,d3aa2986-2359-4d2c-bc55-660fd9f073bb
189,0.907895269117505,0,67811d71-6506-4716-95ef-ed071054a548
196,0.9078952291482114,1,547321d1-7a89-43b7-b84f-d86354484aa1
198,0.9078952287071752,1,0e0fbe89-30c9-4641-aaf7-25dcb0fe1837
190,0.9078952651628744,0,93120990-44c8-4f90-b5cb-0c0d1d6289e1
193,0.907895254602468,0,c3759ad5-5f08-4e71-820b-e838670302db
194,0.9078952429326674,0,e1b0771f-4653-4ba3-bc42-e4b3d54cacde
197,0.9078952289857825,0,16724857-b18a-4725-bcfd-5beb4417e9de
199,0.90789522713438,0,80bf6285-608b-43c1-8d21-7e52e81e7b2f
200,0.9078952215750096,0,8b8e37e3-1662-4d89-83ac-ffbbe616e4a7
202,0.9078952169020806,0,00fb06ef-cc00-4042-8dfe-ae3cf01b2830
201,0.9078952204237634,1,6818ab6a-19f4-4c61-9024-eb2208109b15
203,0.9078952107411601,0,c69ea2d4-8c39-4d63-aeb6-6fa724b30ae1
207,0.9078952005133404,0,0fccdd65-deaf-42b1-83b0-545fadc7af82
204,0.9078952031938688,1,0adf5f01-b508-4546-af2a-e9cf9b07d603
219,0.9078951583829384,0,e1c707ed-0c31-42e6-b0c5-0640f44d945c
222,0.9078951506218,0,fd06289b-07af-42b7-84f4-7163fb37bdfe
223,0.9078951460378438,0,ce05cf7c-d889-4300-83cf-76a195a59086
224,0.9078951382287601,0,5bd502b1-9140-472a-b97e-d8cf32b283d7
205,0.9078952030992532,1,e28a1442-a0cc-40b1-b60e-6f341f6637cc
206,0.907895202733918,1,b1bc7b3a-04b4-4868-8fe9-ae881950abfc
208,0.9078951993993708,1,ee702527-4c34-40c7-94ee-5a30e656421d
227,0.9078951071054306,0,145d530c-c61e-4c58-94f6-d6e1c6e912e0
230,0.9078950912445288,0,f9dd0a94-429c-4c4b-a7f0-038305610858
231,0.907895089267436,0,0c2c9d71-a68f-436a-9cea-0dddc5ce6ad0
209,0.9078951952164538,1,09a29dbe-3e2b-4952-a098-66bb8f474028
232,0.9078950859555908,0,3bbc014f-8282-44a3-bcff-35bcba589442
233,0.9078950817384088,0,a908ab12-cdaa-4c60-82a3-21b018edb4d6
210,0.9078951939797301,1,2df91f07-cc8d-454a-a4b0-451df0721e29
234,0.90789507827088,0,5e3f1016-526c-4115-aae4-c4a9c29b9eaa
235,0.9078950725730032,0,84008a50-e533-4a77-b625-210c2dc3cee1
211,0.9078951907777724,1,d9b26d85-be68-4bc3-9017-cff8bbb09f9c
237,0.9078950649545126,0,3f37914d-ae07-4e5a-9372-da5d9ccc644a
212,0.9078951902778648,1,310e2f1e-eaa8-443d-a5b7-3d19a9458047
238,0.9078950600274118,0,57b847a6-915b-4a43-b369-1c379fce70c2
242,0.9078950313609596,0,146f8dd8-bbb0-4882-9b56-d870ad69ba08
213,0.9078951901444904,1,c1b4a144-8d62-420c-8394-4e52dbeb05ef
246,0.9078950185905568,0,53fedb5a-d82f-4d45-bb5c-c4243735ef39
214,0.907895187126338,1,23c2339d-648f-4014-b746-bb1386237ca6
247,0.9078950168771566,0,a4b6929c-2383-45e1-9a09-48e5381e9fc2
215,0.9078951832362944,1,c39ee90d-a598-4e7a-8713-09f7712e44ae
248,0.907895012755766,0,2ea14bec-0413-4438-8067-23ef41d629b9
252,0.9078949982319796,0,ec05adbc-4ce2-45c2-92e5-b7e773a4cb26
216,0.9078951801820548,1,70a7f8aa-0d28-438c-a79d-c1f48c210ead
255,0.9078949834327936,0,b5d1f0c1-a157-4167-8286-a1a78481a29b
256,0.9078949815011004,0,f2c9e4d7-1007-4232-ad07-87e7ff8476cb
257,0.907894976887276,0,ca2625a6-ae0b-4fef-8a13-642b268b0276
258,0.9078949614956782,0,53453fa8-bf2f-455b-b345-962817c03281
259,0.9078949606911972,0,bdf9d82d-64f4-4c1e-a352-a386785fb054
217,0.9078951679782344,1,ee9c1998-3ecb-4659-b01f-e3ae4ed238d2
218,0.9078951631059318,1,a5727811-3f93-4d8a-b72a-d8bb8c763a61
220,0.9078951560428212,1,93425569-8df4-42aa-8e5d-72663f079a83
221,0.9078951530882858,1,eedd60bc-dc24-4d7d-91fc-f330d3b27975
261,0.9078949555545954,0,36cbbca0-f281-4f1a-89ab-25a163720d75
262,0.9078949526612692,0,9c252b39-a872-4123-9c83-f5f046dba4f6
263,0.9078949523887956,0,c575dcf4-a1d3-47a6-a739-003dc947ebf5
225,0.9078951339476676,1,f0449534-3359-4c32-a595-cd133c8f974a
266,0.9078949397318758,0,18e31ee4-b66f-4bba-b7ef-3377a556ed14
268,0.9078949320498544,0,30252844-7d86-4faa-b836-f45a692a735a
226,0.9078951273924442,1,6c78968a-d09b-44c7-b57d-7df888a966d2
228,0.907895099187002,1,173935a8-d14d-41ad-9605-a9e5d080e43a
269,0.9078949320497662,0,f960b85b-0a40-4c52-aaf3-b3a0cb8dbb4b
229,0.907895097508139,1,af251ae3-68f1-4c7b-a524-4082d24f7ce7
271,0.9078949205186851,0,c97f0746-a589-412b-bc56-27bdea7ca020
272,0.9078949112304036,0,577f806c-93a6-4694-8c33-eddebf93e606
274,0.9078948901587603,0,b86d4efb-37e0-4d17-be57-f3091ddbad60
276,0.9078948778035189,0,126083ff-06a1-4ef7-bd63-8060f463d99d
282,0.907894848144768,0,808af8c7-149b-4214-a8e3-ea8426dfaade
283,0.9078948182056348,0,e7aa148d-ed97-44f6-be35-4bacef4842e0
284,0.9078948121664716,0,df99c608-96f7-4d29-ba3d-a46db96bfcf3
236,0.9078950676217764,1,18778f98-1d7c-4536-8aab-f35cedae8079
239,0.9078950541163074,1,d9e5d53b-bab2-45e7-b7d4-85ea1df6a31f
240,0.9078950521924712,1,c8c73125-118c-40ce-9946-ec21fcbba68b
241,0.9078950475752732,1,0818d29c-667e-42ac-a7a5-956a37eff43d
243,0.907895030066158,1,6e496b81-9548-4552-8612-aa2c39a74f18
244,0.9078950203207504,1,d6746fb3-c87d-43ee-ba31-68d460324bb9
291,0.9078947862515552,0,fdde6487-e6e6-4bd8-996b-74a523e9176d
245,0.9078950187913228,1,22549002-1100-4df2-89a1-26b4c603db1f
249,0.9078950109876148,1,55de5b7f-9fab-4875-8567-7c711529be03
250,0.9078950000946296,1,ec7bb8c5-e75e-47c9-a2da-8bc379fe2439
251,0.9078949998716822,1,c72cbaf7-426a-4d6e-9cc2-cc2b2456d3b8
294,0.9078947756389336,0,f0994795-29d9-4e13-b5c2-82a54098ca06
295,0.9078947707116664,0,9951ec8f-d3a8-4b99-b680-d52b89eff525
299,0.907894753744548,0,808a129f-6323-4b4d-a82f-37ce66e93d92
300,0.9078947509237596,0,5302a5d4-fa59-4e8e-88f9-4c738bec7810
253,0.9078949948204424,1,48899db8-f64a-4b22-a1b3-9962b5f24c35
301,0.907894748776674,0,9b32ad2c-806a-4a39-985d-b68c72350a7e
254,0.9078949910528858,1,a4e83977-67b3-44c1-a3ab-743dbdc9f8e8
304,0.9078947371958258,0,8b2fa915-06bf-4082-8614-6c88faf18ed4
260,0.9078949600027386,1,3aa62428-9705-4f7a-86e5-6072568d5b0d
307,0.9078947347685888,0,766537b6-cd09-4111-a235-281a6e2c56cb
308,0.907894729178276,0,b55305d2-96fd-4f3d-95ab-4a8423442db4
264,0.9078949449724376,1,c6612740-85f3-4851-9705-b45b8c3da5e6
265,0.9078949418049104,1,c2f8bcf5-d36f-4c39-b6fc-11d7d8ff3bff
310,0.9078947195151909,0,1ffda6a4-7cbc-47e9-844a-9ce05ef47fee
267,0.9078949387867808,1,f47d0a10-fb31-4832-be05-728054421eec
270,0.9078949272103192,1,7a9cd1bf-7ac3-4958-9264-4e0033149dc8
273,0.9078948920724054,1,6b528c88-d821-40f1-ae99-8228b21840be
275,0.9078948800630856,1,0627ae21-b95b-4a3b-8412-b9dfeb981062
277,0.9078948769072309,1,22a07339-05c1-4723-b1d5-0b8d920c5358
311,0.9078947150963308,0,ff20cc6b-2d63-41c2-940c-9dd61f06671c
278,0.907894865155254,1,2b3794b8-45c0-44b8-a59d-757f6968254d
279,0.9078948613729936,1,e0df4886-ea91-492f-996b-8b5b3775c57d
315,0.9078947011539766,0,f4f27e0c-1a40-428f-80a4-97cf105b71bd
316,0.9078947010890048,0,3373d237-11fc-4afe-a841-d4b4797855e7
318,0.9078946829925748,0,6531c26a-33a3-4a4b-9375-fe6ca0f96659
319,0.9078946758947612,0,75fe6bd9-bfa4-41f3-af6d-e47822158e15
280,0.9078948606341748,1,9505ea7b-4be5-44bb-8948-ea0383fa4455
281,0.9078948582374432,1,8098e99d-935c-41c6-aedc-30dfd16f1f81
320,0.9078946746864996,0,8d2bedda-7b27-4db8-90a4-b76a535fccf5
285,0.9078948098475428,1,89db1fd0-3151-4ef3-b0bf-f3ecacd95948
286,0.9078948084575892,1,b469f0cd-35d2-4fcf-bf95-4087e80c5d6c
321,0.9078946734539772,0,cafb2da7-8611-40ec-bc66-9599ef31c079
287,0.9078948036747228,1,9302480c-c975-491c-b4cf-03f5744ddb55
322,0.9078946667506009,0,7184869a-269b-4e6f-95c2-03b4eefcc465
288,0.9078947920472492,1,4936d78d-9d8c-4fac-bcdc-26b487519db7
326,0.9078946507029,0,3e8c479a-f16c-4bb8-a7d5-8ad04eb17de6
289,0.9078947903890526,1,e7e1d789-9a3b-494c-b299-e476c827192f
328,0.9078946447366264,0,7252b03f-66ea-4ddf-8a43-d9b9185aadda
290,0.9078947902717284,1,bdf88ad4-2f67-40c3-af74-6d359c0ccc28
330,0.9078946354609962,0,a0d44049-1f5f-4950-90e4-32b178483475
292,0.9078947805074749,1,c47b56bc-1aa8-4306-abbe-303f4ef1b029
331,0.9078946353308108,0,cd1e9536-97cd-4818-b499-c13555e2de7c
334,0.9078946292134844,0,13873fcd-999c-4b38-864b-5b4075e7ed7a
335,0.9078946252229684,0,74557a3a-211b-4349-93e9-62547c0301db
293,0.9078947768431116,1,78391de7-3e0f-4329-aa10-ffdc3558fa01
296,0.9078947642285976,1,4ca37d3d-6b96-43f3-934b-308e55737507
339,0.9078946180924364,0,29460e56-2b4d-44aa-9c1a-c24fcceddb90
297,0.9078947616421896,1,c889f863-0661-48b8-b7b6-399d8212cef7
298,0.907894754261056,1,0f5df4ef-2c5b-49c9-a04d-b7e0b46691c5
341,0.9078946055765316,0,cc6c9b4d-3ee3-4741-a277-62ae8ee43016
302,0.9078947476728276,1,72236aca-d985-4d31-a5db-d830789ee2c6
344,0.9078945980842471,0,ab4aba80-7573-4452-8c2b-12aed54a0c3c
303,0.907894747221902,1,f81bc3fe-5d83-40ac-9472-17331523ff4d
346,0.9078945904367974,0,5606a0e5-8039-46e5-b027-3102a9f9a7b1
305,0.9078947358636484,1,de57d57c-749e-4c94-8f1b-8868b3804556
306,0.9078947355294088,1,2407274a-5c51-4ecd-bc43-3d103bd8a982
347,0.9078945836646624,0,6fbc07ef-c3a8-493c-bdb4-c7ab04ef5114
350,0.907894568143392,0,7bfa867e-9675-46b5-9307-416d864c940b
351,0.9078945658088868,0,2b746d96-0e8e-46a1-99c7-8d73b84692b8
309,0.9078947226509048,1,5e88ac6e-9ba1-4a2f-9f98-21f1bf110b6b
352,0.9078945547393192,0,dd771834-9652-422a-ba98-1d4a59aa0c37
353,0.907894552994282,0,694a165b-812a-4b98-8e64-5fa59d60508c
312,0.9078947114830848,1,d8e5f434-7bf2-458b-8dc7-4bd7cf379698
313,0.9078947093617508,1,c4eafb7a-2931-47cd-8cf5-0eaa50330fc6
355,0.9078945442908728,0,eca9f5a8-8c2d-4312-adda-4494d050a9d8
314,0.9078947027831991,1,aa22e2a6-bafe-43aa-a576-1a9b74b190c6
317,0.9078946996870474,1,fb4fd1b4-60ae-4bef-866f-92367b8be497
323,0.9078946663982796,1,fce2caca-9f68-4166-90f9-2b043c4edbee
358,0.9078945366564288,0,e711f5c1-9aad-4655-b807-241915c0a320
363,0.9078945204528848,0,69c362c9-2095-40e1-9881-d3cdd77ab6f5
364,0.9078945167610576,0,ef3e7369-623a-4a2c-90e0-77571d0c06d4
366,0.9078945012546854,0,89427964-0234-4abe-9d8c-c8a0dbe24d30
324,0.9078946609578288,1,a8e9046d-ab02-4855-85df-a479d8bad438
367,0.9078945012386832,0,1e3e9bd5-c71c-4b86-946e-5070db01ad24
370,0.9078944849495127,0,177d043c-07d7-4828-9d30-e81bb59bec8a
371,0.9078944845616544,0,e1b42a4a-705a-4524-93ab-5fb0c3ae98d1
