sex,age_cat,race,two_year_recid,score
1,2,1,0,0.9078955287731423
0,2,0,1,0.9078955110149323
1,0,1,0,0.9078954867962681
0,0,0,0,0.9078954723642878
0,2,0,1,0.9078954680516041
1,2,1,0,0.9078954652706308
1,0,0,0,0.9078954565778977
1,0,1,0,0.907895450963183
0,2,1,0,0.9078954468272734
1,0,0,1,0.9078954452464388
1,2,0,0,0.9078954438051634
1,2,1,0,0.9078954420912194
1,0,0,0,0.9078954399559553
1,2,0,0,0.9078954332690544
1,2,0,0,0.9078954314662712
1,2,1,0,0.9078954272774267
0,0,0,0,0.9078954223511337
0,0,0,0,0.9078954125823083
1,0,1,1,0.9078954114737227
0,0,1,0,0.9078953885518868
1,0,1,0,0.9078953871773215
1,0,1,0,0.9078953854554682
1,0,0,0,0.9078953830322574
1,0,0,0,0.9078953801458871
1,0,0,0,0.9078953785824653
1,0,0,0,0.9078953496131819
0,2,1,0,0.9078953480064659
1,2,0,0,0.907895347634408
1,0,1,1,0.9078953326365965
1,0,1,0,0.9078953318694555
1,2,1,0,0.9078953162731737
1,0,0,0,0.9078953132342965
1,0,0,0,0.90789531217541
1,2,1,0,0.9078953046903923
0,0,0,0,0.9078952933670131
0,2,0,1,0.9078952911077824
1,2,1,1,0.9078952907495424
1,0,1,1,0.9078952785467591
0,2,1,0,0.9078952777314979
0,0,0,1,0.9078952750956518
1,2,0,0,0.907895269117505
1,2,0,0,0.9078952651628744
1,2,1,0,0.907895255718144
1,2,1,0,0.9078952547112287
1,0,0,0,0.9078952546024681
0,0,0,0,0.9078952429326674
1,0,1,0,0.9078952421082802
0,0,1,0,0.9078952291482114
1,0,0,0,0.9078952289857825
1,2,1,1,0.9078952287071753
1,2,0,0,0.9078952271343801
0,0,0,0,0.9078952215750095
1,0,1,0,0.9078952204237634
0,0,0,0,0.9078952169020806
0,2,0,0,0.90789521074116
1,2,1,0,0.9078952031938688
1,0,1,0,0.9078952030992531
0,2,1,0,0.9078952027339179
1,2,0,0,0.9078952005133403
1,2,1,0,0.9078951993993709
0,2,1,0,0.9078951952164538
1,0,1,0,0.90789519397973
1,0,1,1,0.9078951907777723
1,2,1,0,0.9078951902778647
1,2,1,1,0.9078951901444903
1,0,1,0,0.9078951871263381
1,2,1,1,0.9078951832362945
1,2,1,0,0.9078951801820548
1,2,1,1,0.9078951679782344
1,0,1,0,0.9078951631059318
1,2,0,0,0.9078951583829385
0,2,1,0,0.9078951560428213
1,2,1,0,0.9078951530882858
0,0,0,0,0.9078951506217999
1,0,0,0,0.9078951460378438
1,0,0,0,0.90789513822876
0,2,1,0,0.9078951339476677
1,2,1,0,0.9078951273924442
1,0,0,0,0.9078951071054306
1,0,1,0,0.9078950991870021
1,0,1,1,0.907895097508139
1,0,0,0,0.9078950912445288
1,2,0,1,0.9078950892674361
1,0,0,0,0.9078950859555908
0,0,0,0,0.9078950817384089
0,0,0,0,0.9078950782708801
0,2,0,0,0.9078950725730033
1,0,1,0,0.9078950676217763
1,0,0,1,0.9078950649545126
1,0,0,0,0.9078950600274118
1,2,1,0,0.9078950541163074
0,2,1,0,0.9078950521924711
1,0,1,0,0.9078950475752733
0,0,0,0,0.9078950313609597
0,0,1,0,0.9078950300661581
0,2,1,1,0.9078950203207505
1,2,1,1,0.9078950187913227
1,2,0,0,0.9078950185905569
1,0,0,0,0.9078950168771566
1,0,0,0,0.9078950127557659
1,2,1,0,0.9078950109876149
1,2,1,0,0.9078950000946296
1,0,1,1,0.9078949998716822
1,2,0,0,0.9078949982319795
1,0,1,0,0.9078949948204423
1,2,1,0,0.9078949910528858
1,0,0,0,0.9078949834327937
1,0,0,0,0.9078949815011005
1,2,0,0,0.9078949768872759
0,0,0,0,0.9078949614956782
1,0,0,0,0.9078949606911971
1,0,1,1,0.9078949600027386
1,0,0,0,0.9078949555545954
0,0,0,0,0.9078949526612693
1,0,0,0,0.9078949523887956
1,2,1,0,0.9078949449724375
1,0,1,0,0.9078949418049103
1,0,0,0,0.9078949397318758
1,0,1,0,0.907894938786781
1,0,0,0,0.9078949320498544
0,2,0,0,0.9078949320497662
1,2,1,0,0.9078949272103191
1,0,0,0,0.907894920518685
1,2,0,0,0.9078949112304037
1,0,1,0,0.9078948920724054
0,2,0,0,0.9078948901587605
1,2,1,0,0.9078948800630857
1,0,0,0,0.9078948778035189
1,2,1,0,0.907894876907231
1,2,1,0,0.9078948651552539
0,0,1,0,0.9078948613729937
1,0,1,0,0.9078948606341747
1,0,1,0,0.9078948582374432
1,0,0,0,0.9078948481447681
0,2,0,0,0.9078948182056348
1,0,0,0,0.9078948121664717
0,2,1,1,0.9078948098475428
0,0,1,0,0.9078948084575893
1,0,1,0,0.9078948036747228
1,0,1,0,0.9078947920472493
1,2,1,0,0.9078947903890526
0,2,1,0,0.9078947902717284
1,0,0,0,0.9078947862515553
1,0,1,0,0.9078947805074747
1,0,1,1,0.9078947768431117
1,0,0,0,0.9078947756389335
1,2,0,0,0.9078947707116664
1,0,1,0,0.9078947642285976
0,2,1,0,0.9078947616421895
1,0,1,0,0.9078947542610559
1,2,0,1,0.907894753744548
0,0,0,0,0.9078947509237595
1,2,0,1,0.9078947487766741
1,0,1,0,0.9078947476728277
1,0,1,0,0.9078947472219021
1,0,0,0,0.9078947371958258
1,0,1,1,0.9078947358636483
1,0,1,0,0.9078947355294089
0,2,0,0,0.9078947347685887
1,0,0,0,0.9078947291782761
1,2,1,1,0.9078947226509049
1,2,0,0,0.907894719515191
1,0,0,0,0.9078947150963307
1,2,1,0,0.9078947114830849
1,0,1,0,0.9078947093617508
1,0,1,1,0.907894702783199
1,0,0,1,0.9078947011539766
0,0,0,0,0.9078947010890047
0,0,1,0,0.9078946996870474
1,0,0,0,0.9078946829925749
1,0,0,0,0.9078946758947611
1,0,0,1,0.9078946746864996
1,2,0,0,0.9078946734539771
0,2,0,0,0.907894666750601
0,0,1,0,0.9078946663982795
1,0,1,0,0.9078946609578287
0,0,1,1,0.9078946589191965
1,0,0,0,0.9078946507029001
1,2,1,0,0.9078946455892416
0,2,0,0,0.9078946447366263
1,2,1,0,0.9078946407852923
0,0,0,0,0.9078946354609962
0,2,0,0,0.9078946353308108
1,2,1,0,0.9078946336651909
1,0,1,0,0.907894631596299
1,0,0,0,0.9078946292134845
1,0,0,0,0.9078946252229684
1,2,1,0,0.9078946241067408
1,2,1,0,0.9078946228137093
1,2,1,0,0.9078946187111243
0,2,0,0,0.9078946180924365
1,0,1,0,0.9078946174882022
1,0,0,0,0.9078946055765317
1,0,1,0,0.9078946047236871
1,2,1,0,0.9078945992640799
0,0,0,0,0.907894598084247
1,0,1,0,0.9078945920425271
1,2,0,0,0.9078945904367974
1,0,0,0,0.9078945836646625
0,0,1,0,0.907894574048241
1,2,1,0,0.9078945731985878
1,2,0,1,0.9078945681433919
1,2,0,1,0.9078945658088868
1,0,0,0,0.9078945547393191
1,0,0,0,0.9078945529942821
1,2,1,0,0.9078945526969748
1,2,0,0,0.9078945442908727
1,2,1,0,0.9078945411223811
1,0,1,0,0.9078945367552554
1,0,0,0,0.9078945366564289
1,2,1,0,0.9078945360367123
0,2,1,0,0.9078945332288829
0,0,1,0,0.9078945253026068
0,2,1,1,0.9078945220073626
1,0,0,0,0.9078945204528849
1,0,0,1,0.9078945167610575
0,2,1,0,0.9078945139793125
1,0,0,0,0.9078945012546854
1,0,0,0,0.9078945012386832
1,0,1,0,0.9078945002999304
1,2,1,1,0.9078944991215503
1,0,0,0,0.9078944849495129
0,0,0,1,0.9078944845616544
1,2,0,0,0.9078944743488712
1,2,0,0,0.9078944741752413
1,2,1,0,0.907894471018571
1,0,1,0,0.9078944707942818
1,0,0,0,0.9078944682498906
1,0,0,0,0.9078944667838139
1,2,1,0,0.9078944643505374
1,0,1,0,0.9078944541227698
1,0,0,0,0.9078944506737351
0,2,1,0,0.9078944473898385
0,0,1,0,0.907894442829498
1,0,0,0,0.9078944326195134
0,2,1,1,0.9078944316820446
1,2,1,0,0.9078944266807939
1,2,1,0,0.9078944252338805
1,2,1,0,0.907894425165567
1,2,0,0,0.9078944230814625
0,2,0,1,0.9078944230773608
1,2,0,0,0.9078944227975942
1,2,1,0,0.9078944201259036
1,0,1,0,0.9078944015406151
0,2,0,1,0.9078943978120096
1,0,0,0,0.9078943972870334
1,0,0,0,0.90789439646616
1,2,1,0,0.9078943958431747
1,0,0,0,0.9078943952330005
1,0,0,0,0.9078943925849946
1,2,1,1,0.9078943885349474
1,0,1,0,0.9078943799680081
1,0,1,0,0.9078943770630662
1,2,1,0,0.9078943724674619
1,2,0,1,0.9078943706698748
0,2,0,0,0.9078943641836229
1,0,1,1,0.9078943625573499
1,2,0,0,0.907894361664337
1,2,0,0,0.9078943583765625
0,2,1,1,0.9078943542927485
0,0,1,1,0.9078943534418473
1,0,0,0,0.907894345255706
0,0,1,0,0.9078943450672812
1,2,0,1,0.9078943427974703
1,0,0,0,0.9078943413880811
0,0,1,0,0.9078943316488417
1,2,1,0,0.9078943283836374
1,0,1,0,0.9078943275344299
1,0,1,0,0.9078943236960821
0,0,0,0,0.9078943210961875
0,0,1,0,0.907894291914928
1,2,1,0,0.907894291582239
0,2,1,0,0.9078942892105303
1,0,0,1,0.9078942872898758
1,0,0,0,0.9078942863360243
1,2,0,0,0.9078942841137746
1,2,1,0,0.9078942840569916
0,0,0,0,0.9078942819854751
1,2,1,1,0.9078942787776662
1,0,0,0,0.9078942765034224
1,0,1,0,0.9078942744277982
1,0,1,1,0.9078942684495365
0,2,0,0,0.9078942651426489
1,0,1,0,0.9078942605606569
1,2,1,0,0.9078942536167067
1,0,1,0,0.9078942520104143
1,0,0,0,0.907894238089885
1,0,0,0,0.9078942371367325
1,0,1,0,0.907894233946608
1,2,1,0,0.907894231770337
0,2,0,1,0.9078942293342186
1,0,0,0,0.9078942262157483
0,0,0,0,0.9078942199236648
1,0,0,0,0.9078942166888668
1,0,1,1,0.9078942162048388
1,2,1,0,0.9078941945783818
1,2,1,0,0.9078941942450165
1,2,1,0,0.9078941920027519
0,2,0,0,0.9078941898978781
1,0,1,0,0.9078941854249618
1,0,1,0,0.9078941747777819
1,0,0,0,0.9078941693150322
1,0,1,0,0.9078941666995007
1,2,1,0,0.9078941614917962
1,2,0,0,0.9078941588870775
0,0,0,0,0.9078941568283558
1,0,0,0,0.9078941519719523
1,0,0,0,0.9078941517614469
0,2,1,0,0.9078941448549985
1,0,0,0,0.9078941439273487
0,2,0,0,0.9078941433744648
0,2,1,0,0.9078941211065175
1,2,1,0,0.9078941207982442
0,2,1,0,0.9078941139164225
0,2,1,0,0.9078941138574474
1,2,1,1,0.9078941095362973
1,0,1,0,0.9078941031439636
1,0,1,0,0.9078940983925213
0,0,1,0,0.9078940934217674
0,0,1,0,0.9078940885898124
1,0,1,0,0.9078940803062004
0,2,1,0,0.9078940800607245
1,0,1,1,0.9078940775043344
0,2,1,0,0.907894071524591
1,2,0,0,0.9078940693433719
1,0,1,0,0.9078940680462835
0,0,0,0,0.907894067412258
1,2,0,0,0.9078940650031264
0,0,0,0,0.9078940639693713
1,0,0,0,0.9078940575358481
1,2,0,0,0.907894054464943
0,2,1,0,0.9078940539832089
0,0,0,1,0.9078940525123331
0,2,1,1,0.9078940509083205
1,0,1,0,0.9078940501371964
1,0,1,0,0.9078940489128698
1,2,0,1,0.9078940355200462
1,2,0,0,0.9078940324385164
1,2,0,0,0.9078940234374564
1,2,0,0,0.9078940202228115
1,2,1,0,0.9078940169935139
1,2,0,0,0.9078940099728242
1,0,0,0,0.9078940093987955
1,0,1,0,0.9078940045471143
1,2,1,1,0.907894003972921
1,0,0,0,0.9078939978602216
1,2,1,0,0.9078939965083849
0,0,0,0,0.9078939911916496
0,2,1,0,0.9078939869024408
0,0,1,0,0.907893986501396
0,0,0,0,0.9078939862884987
1,0,0,0,0.9078939849314259
0,0,0,0,0.9078939824730236
1,2,0,0,0.9078939789071107
1,2,0,1,0.9078939720959739
0,0,0,0,0.9078939635527871
1,2,0,0,0.907893958766071
1,0,1,1,0.9078939577728253
1,2,0,0,0.9078939273698312
1,2,1,0,0.907893920151042
1,2,0,0,0.9078939162188423
1,2,1,0,0.9078939141440028
1,2,0,0,0.9078939115777204
1,0,0,0,0.9078939111589065
1,0,0,0,0.907893905399238
1,0,1,0,0.9078938989051181
0,0,1,0,0.9078938947958227
1,0,1,0,0.9078938940017368
1,0,0,0,0.9078938936062119
0,0,0,0,0.9078938834968528
1,2,1,0,0.9078938771061321
0,0,0,0,0.907893866159744
1,2,1,0,0.9078938452669572
1,0,1,0,0.9078938327683264
0,0,0,0,0.9078938298052814
1,0,1,0,0.9078938137962999
0,2,0,0,0.9078938107736311
0,0,0,0,0.9078938103422283
1,0,1,0,0.9078937920004205
0,2,0,1,0.9078937915107731
1,2,0,1,0.9078937803253903
1,0,0,0,0.9078937706469015
1,2,0,0,0.9078937684861546
0,0,0,0,0.907893756199581
1,0,0,0,0.9078937255558415
1,2,1,0,0.907893699059122
0,0,0,0,0.907893695002187
1,2,1,0,0.9078936777155648
1,2,0,1,0.9078936760619967
1,0,1,0,0.9078936745639241
0,2,0,0,0.9078936740685484
1,0,1,0,0.9078936701967972
1,2,0,0,0.907893659484142
1,2,1,0,0.9078936509130873
0,0,0,0,0.9078936457705844
1,2,0,0,0.9078936385402846
1,0,0,0,0.9078936384450134
1,0,0,0,0.9078936274508602
1,0,0,0,0.9078936211170939
1,2,1,0,0.9078936207678441
1,0,0,0,0.9078936202119683
0,2,0,0,0.9078936123510867
1,0,0,0,0.9078936070230196
1,0,1,0,0.9078935995694584
0,0,0,0,0.9078935968440396
0,2,1,0,0.907893575704974
1,0,1,0,0.9078935637558415
1,0,0,0,0.9078935631685724
1,2,1,0,0.9078935625961728
1,0,1,0,0.9078935588945112
1,2,0,0,0.9078935481231629
0,0,1,0,0.9078935455951579
1,2,0,0,0.9078935421757884
1,0,1,0,0.9078935376497784
1,2,1,0,0.9078935322774712
1,0,1,0,0.9078935310877703
1,2,1,0,0.9078935278521127
0,0,0,0,0.9078935267579311
1,2,1,1,0.9078935262072926
1,0,0,0,0.9078935234762259
1,2,0,0,0.907893516988375
1,2,1,0,0.9078935103667284
1,0,1,0,0.9078935084227738
0,0,1,0,0.907893496497448
1,0,0,0,0.907893496488923
1,0,1,0,0.9078934942904654
1,2,1,0,0.9078934893393965
1,2,1,0,0.9078934708211613
1,2,1,0,0.9078934604443005
1,2,1,0,0.9078934566485183
1,0,1,1,0.9078934189569844
0,0,0,0,0.9078934094584123
1,2,1,0,0.90789340664531
1,2,0,0,0.9078933946965233
1,0,1,0,0.9078933855259793
0,2,1,1,0.9078933691214641
1,0,1,0,0.9078933680293796
1,2,1,1,0.9078933375277154
1,2,0,0,0.9078933299261378
1,0,0,0,0.9078933270822491
1,2,0,0,0.9078933223056209
1,0,1,0,0.9078933026762447
1,2,0,0,0.9078933026286645
0,0,1,0,0.9078932976734163
1,0,1,0,0.9078932778067345
1,2,1,0,0.907893261864763
0,2,1,0,0.9078932606258073
1,2,1,0,0.9078932521666392
1,2,1,0,0.9078932484270483
1,0,0,0,0.9078932414848192
0,2,1,0,0.9078932322691958
1,0,1,0,0.9078932320811243
1,0,0,0,0.9078932088050632
1,2,0,0,0.9078931879799048
1,0,1,0,0.9078931855366337
1,0,0,1,0.9078931632329202
1,0,0,0,0.9078931178203613
1,0,1,0,0.90789311698023
1,0,0,0,0.9078931024265403
0,0,1,0,0.9078930927422206
1,2,1,0,0.907893092383584
1,2,1,0,0.9078930666430082
1,0,0,0,0.9078930659648194
1,2,0,0,0.9078929852022831
0,2,1,0,0.9078929848729469
0,2,1,0,0.907892975421842
0,0,1,0,0.9078929338263847
1,0,0,0,0.907892924968124
1,0,0,0,0.907892905403311
1,2,1,0,0.9078928896035182
1,0,0,1,0.9078928638242401
0,2,0,0,0.9078927737484597
1,0,0,1,0.9078927189674662
1,0,1,0,0.9078926390787939
0,2,0,0,0.9078926194441939
1,2,1,0,0.9078925982397766
0,2,0,1,0.9078925784108415
1,0,1,0,0.9078924793246974
1,0,0,0,0.9078924573119997
1,2,1,0,0.907892416531232
0,0,1,0,0.9078923792833069
1,2,0,0,0.9078923330766783
1,2,1,0,0.9078921718468785
1,0,1,0,0.9078919047080436
1,0,0,0,0.9078916102454563
0,0,0,0,0.9078912184255066
1,0,1,0,0.9013184957466762
1,0,0,1,0.901318220999234
0,0,0,0,0.9013181355350807
1,2,1,0,0.9013181115134976
1,2,0,0,0.9013180933901694
0,2,0,0,0.9013180572883818
1,2,0,0,0.9013180409480773
0,2,0,0,0.9013180144236461
1,0,0,0,0.9013179286898465
1,0,0,0,0.9013179201563783
0,0,0,1,0.9013177702411247
1,0,1,1,0.9013177203594541
1,0,1,0,0.9013176108957589
0,0,1,0,0.9013175944079257
1,0,0,0,0.9013175510053163
1,2,1,0,0.9013174462633798
1,0,0,1,0.9013174201944664
1,0,0,0,0.9013173918679241
1,0,0,0,0.9013173911382301
1,0,1,0,0.9013173280702267
1,0,0,0,0.9013173057246677
1,2,0,0,0.9013172957086647
1,2,0,0,0.9013172807802051
0,0,0,0,0.9013172508819088
1,2,1,1,0.9013172482096447
1,2,0,0,0.9013172431375112
1,0,1,0,0.9013172410139657
1,2,1,1,0.9013172140676636
0,2,1,0,0.9013171971072813
1,0,1,0,0.9013171243279293
1,0,1,1,0.901317123230701
1,0,0,0,0.9013170173243072
1,0,0,1,0.901317003419481
1,2,1,0,0.9013170026408664
0,0,0,1,0.9013169973684493
1,0,0,0,0.901316985047469
1,0,1,0,0.9013169665628312
1,2,1,0,0.9013169337788399
1,0,1,0,0.901316922239548
1,0,0,1,0.90131690895441
1,0,0,1,0.9013168680543244
0,0,1,0,0.901316867154393
1,0,0,0,0.901316852816227
0,2,1,0,0.9013168489081865
1,0,0,0,0.9013168364280484
0,0,1,0,0.9013168317298793
1,2,0,1,0.9013168311536157
1,0,0,0,0.9013168291714322
1,0,1,0,0.9013168281527252
1,0,1,0,0.901316827784635
1,2,1,0,0.9013168250424218
0,0,1,0,0.9013168212249265
1,0,0,0,0.9013168058536639
1,2,0,0,0.9013167959831812
1,2,1,0,0.9013167957973578
1,0,1,0,0.9013167764016821
1,0,1,0,0.9013167690839825
1,2,1,1,0.9013167611017758
1,0,1,0,0.9013167546166536
1,2,1,0,0.9013167525078295
1,0,0,1,0.9013167392073461
1,0,0,0,0.9013167364532445
1,0,1,0,0.9013167300471849
1,2,1,0,0.9013166904809639
1,2,1,0,0.9013166804815941
1,2,0,0,0.901316663314782
0,0,0,0,0.9013166561644346
1,2,1,1,0.9013166313351342
0,0,1,0,0.9013166016827066
1,2,1,0,0.9013165756031524
1,0,1,0,0.9013165472357114
1,2,0,1,0.9013165439423385
1,0,0,0,0.9013164809826947
1,2,1,0,0.9013164691356722
0,0,0,1,0.901316468268574
0,0,1,0,0.901316458410393
0,0,0,1,0.901316452310472
0,0,0,0,0.9013164220743963
1,2,1,0,0.9013164018179347
0,2,0,0,0.9013163846898747
1,2,1,0,0.9013163814957976
0,0,1,0,0.9013163600781158
1,0,1,0,0.9013163479763491
1,0,1,0,0.9013163407296808
1,0,0,0,0.9013163259511796
1,0,1,0,0.9013163132517229
1,0,1,0,0.9013163043134785
1,0,0,0,0.901316283385671
1,2,0,1,0.9013162711687339
1,0,0,0,0.9013162570751925
1,0,0,0,0.9013162205753241
1,0,1,1,0.9013162077344926
1,2,0,0,0.9013162064205413
1,2,0,1,0.9013162045403699
1,0,1,0,0.9013161990845258
1,0,0,0,0.9013161871042475
1,2,1,0,0.9013161455676213
1,0,1,1,0.9013161365540914
1,0,0,0,0.9013161267595617
1,0,1,0,0.9013161183633197
0,0,0,0,0.9013161140389127
1,0,1,1,0.9013161124887737
1,0,1,0,0.9013161068302439
0,0,0,0,0.9013161029129229
1,0,1,0,0.9013160997213358
1,0,1,0,0.9013160763603504
1,0,1,0,0.9013160700044813
1,2,1,0,0.9013160580912477
1,2,1,1,0.9013160558737187
0,2,1,0,0.9013160355131502
1,2,1,1,0.9013160295011948
1,0,1,1,0.9013159846126242
1,2,0,1,0.9013159829180638
0,2,1,0,0.9013159726735381
1,0,0,0,0.9013159688737975
1,0,0,0,0.9013159589028011
1,2,1,1,0.9013159587473963
1,0,1,1,0.9013159578886171
1,0,0,0,0.9013159405820313
0,2,1,0,0.901315918397782
0,2,1,0,0.9013159160460091
1,0,1,1,0.9013159147606882
1,2,0,0,0.9013159113215778
1,0,0,0,0.901315910417097
1,0,0,1,0.9013159086773177
1,0,0,0,0.9013159013527914
0,2,1,0,0.9013158930576541
0,2,0,1,0.9013158908823251
1,0,0,0,0.9013158857526714
1,0,0,0,0.9013158704535267
1,0,1,0,0.9013158698378311
1,0,0,1,0.9013158652677011
1,0,1,0,0.9013158631598194
0,0,1,0,0.9013158495480629
1,0,1,0,0.9013158481568887
1,2,1,0,0.9013158363150621
1,2,1,0,0.9013158266165815
1,2,0,0,0.9013158230191131
1,0,0,0,0.9013157931693657
1,0,1,0,0.9013157905643608
1,0,0,0,0.9013157889717676
1,2,0,1,0.9013157845754947
1,0,1,0,0.9013157764328042
1,0,1,0,0.9013157713528953
1,0,1,0,0.901315751747909
1,0,1,0,0.9013157509722823
1,0,0,0,0.901315745750937
0,0,0,0,0.9013157291480236
0,0,0,0,0.9013157287557554
0,0,1,1,0.901315720416206
0,2,0,1,0.9013157158806024
0,0,0,0,0.901315713490729
1,2,0,0,0.9013157100551275
1,2,0,0,0.9013156965566443
1,2,0,0,0.9013156954196485
1,2,0,0,0.9013156938596153
0,2,1,0,0.9013156485154459
1,0,1,0,0.9013156449786015
1,0,1,0,0.9013156405177065
1,2,1,0,0.9013156383145564
1,0,0,0,0.9013156195848903
1,2,0,0,0.9013156181884409
1,0,1,1,0.9013155948836913
1,2,0,0,0.9013155835669507
0,0,1,0,0.9013155539161403
1,0,1,0,0.9013155297291376
0,0,0,0,0.9013155206409702
1,2,0,1,0.9013155164879099
1,2,1,0,0.9013154961552015
1,0,0,0,0.9013154812499709
0,0,1,0,0.901315476360961
0,2,0,0,0.9013154559133382
1,0,1,0,0.9013154466842734
1,2,0,0,0.9013154439351497
1,0,0,1,0.901315438565958
1,2,1,0,0.9013154328666252
1,0,1,0,0.9013154169800481
1,0,0,1,0.9013154107459693
1,0,0,1,0.9013154072872429
0,2,0,1,0.9013154028305
1,0,0,0,0.9013153956841121
1,0,0,0,0.9013153939454362
1,0,0,0,0.9013153780040154
1,0,1,0,0.9013153776917642
1,2,1,0,0.9013153712383545
1,0,1,0,0.9013153628063756
1,0,0,0,0.9013153547926331
1,0,0,1,0.9013153453782864
1,2,1,0,0.901315311823849
1,2,1,1,0.9013153081879456
1,2,0,1,0.9013152880492895
1,0,0,0,0.9013152542414616
